MsgID.LOCAL_VELOCITY,1522889112.9546161,1.8846760,4.3476577,0.0936877
MsgID.GLOBAL_POSITION,1522889113.2026508,-122.3957116,37.7935654,2.6930000
MsgID.LOCAL_VELOCITY,1522889113.2026508,1.1400000,5.1200000,0.0800000
MsgID.LOCAL_POSITION,1522889113.2028401,31.5493813,3.5803359,-2.6938832
MsgID.LOCAL_VELOCITY,1522889113.2028401,1.1489921,5.1247115,0.0866838
MsgID.STATE,1522889113.4198730,True,True
MsgID.GLOBAL_HOME,1522889113.4200902,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889113.4534960,-122.3956922,37.7935683,2.6970000
MsgID.LOCAL_VELOCITY,1522889113.4534960,0.3600000,5.9500000,0.0800000
MsgID.LOCAL_POSITION,1522889113.4538538,31.8646584,5.3095102,-2.6974664
MsgID.LOCAL_VELOCITY,1522889113.4538538,0.3659715,5.9597974,0.0818779
MsgID.GLOBAL_POSITION,1522889113.7034881,-122.3956771,37.7935690,2.6970000
MsgID.LOCAL_VELOCITY,1522889113.7034881,-0.3000000,6.6500000,0.0400000
MsgID.LOCAL_POSITION,1522889113.7037311,31.9407043,6.6487613,-2.6976335
MsgID.LOCAL_VELOCITY,1522889113.7037311,-0.3004620,6.6533461,0.0426488
MsgID.GLOBAL_POSITION,1522889113.9538188,-122.3956563,37.7935674,2.6980000
MsgID.LOCAL_VELOCITY,1522889113.9538188,-1.0000000,7.3800000,0.0300000
MsgID.LOCAL_POSITION,1522889113.9540560,31.7669735,8.5013666,-2.6984828
MsgID.LOCAL_VELOCITY,1522889113.9540560,-1.0041568,7.3850980,0.0388804
MsgID.GLOBAL_POSITION,1522889114.2035320,-122.3956363,37.7935647,2.6950000
MsgID.LOCAL_VELOCITY,1522889114.2035320,-1.5500000,7.9800000,0.0300000
MsgID.LOCAL_POSITION,1522889114.2037280,31.4684200,10.2784739,-2.6950734
MsgID.LOCAL_VELOCITY,1522889114.2037280,-1.5579083,7.9811754,0.0377151
MsgID.STATE,1522889114.4199119,True,True
MsgID.GLOBAL_HOME,1522889114.4201291,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889114.4535530,-122.3956114,37.7935604,2.6980000
MsgID.LOCAL_VELOCITY,1522889114.4535530,-1.9900000,8.3600000,0.0500000
MsgID.LOCAL_POSITION,1522889114.4554639,30.9850121,12.4874334,-2.6980381
MsgID.LOCAL_VELOCITY,1522889114.4554639,-1.9957755,8.3683434,0.0510910
MsgID.GLOBAL_POSITION,1522889114.7045300,-122.3955893,37.7935558,2.6930000
MsgID.LOCAL_VELOCITY,1522889114.7045300,-2.1800000,8.5000000,0.0000000
MsgID.LOCAL_POSITION,1522889114.7049150,30.4718151,14.4577694,-2.6933184
MsgID.LOCAL_VELOCITY,1522889114.7049150,-2.1810584,8.5000200,-0.0068433
MsgID.GLOBAL_POSITION,1522889114.9538710,-122.3955637,37.7935498,2.6860000
MsgID.LOCAL_VELOCITY,1522889114.9538710,-2.2700000,8.5300000,0.0100000
MsgID.LOCAL_POSITION,1522889114.9540620,29.8134613,16.7290344,-2.6869178
MsgID.LOCAL_VELOCITY,1522889114.9540620,-2.2776701,8.5395317,0.0147224
MsgID.GLOBAL_POSITION,1522889115.2052212,-122.3955412,37.7935459,2.6660000
MsgID.LOCAL_VELOCITY,1522889115.2052212,-2.3100000,8.5600000,0.0000000
MsgID.LOCAL_POSITION,1522889115.2054138,29.3769054,18.7250233,-2.6663768
MsgID.LOCAL_VELOCITY,1522889115.2054138,-2.3137698,8.5634365,-0.0095958
MsgID.STATE,1522889115.4198122,True,True
MsgID.GLOBAL_HOME,1522889115.4200399,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889115.4552550,-122.3955154,37.7935416,2.6750000
MsgID.LOCAL_VELOCITY,1522889115.4552550,-2.3900000,8.5800000,-0.1700000
MsgID.LOCAL_POSITION,1522889115.4554679,28.8972740,21.0223656,-2.6757257
MsgID.LOCAL_VELOCITY,1522889115.4554679,-2.3953028,8.5840254,-0.1721618
MsgID.GLOBAL_POSITION,1522889115.7043588,-122.3954917,37.7935366,2.6770000
MsgID.LOCAL_VELOCITY,1522889115.7043588,-2.5300000,8.5200000,-0.1400000
MsgID.LOCAL_POSITION,1522889115.7045510,28.3473930,23.1250305,-2.6778290
MsgID.LOCAL_VELOCITY,1522889115.7045510,-2.5306339,8.5201731,-0.1428395
MsgID.GLOBAL_POSITION,1522889115.9539809,-122.3954676,37.7935300,2.6690000
MsgID.LOCAL_VELOCITY,1522889115.9539809,-2.4600000,7.5200000,-0.1200000
MsgID.LOCAL_POSITION,1522889115.9541750,27.6098251,25.2708168,-2.6693966
MsgID.LOCAL_VELOCITY,1522889115.9541750,-2.4656751,7.5200257,-0.1241319
MsgID.GLOBAL_POSITION,1522889116.2054269,-122.3954512,37.7935252,2.6690000
MsgID.LOCAL_VELOCITY,1522889116.2054269,-1.9400000,5.9100000,-0.1800000
MsgID.LOCAL_POSITION,1522889116.2056179,27.0778847,26.7304249,-2.6695256
MsgID.LOCAL_VELOCITY,1522889116.2056179,-1.9486105,5.9103503,-0.1820940
MsgID.STATE,1522889116.4204900,True,True
MsgID.GLOBAL_HOME,1522889116.4207191,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1522889116.4540410,-122.3954348,37.7935188,2.6760000
MsgID.LOCAL_VELOCITY,1522889116.4540410,-1.9500000,4.5300000,-0.1100000
